step,host,command,args,expectedOut
Verify admin pass change with new pass containing forbidden characters,sc1,change.pwd,OPENIDM_MYSQL_ADMIN_PWD:MysqlAdm12?:MysqlAdm12?:MysqlAdm12?:MysqlAdm12?,"Please enter current password:Please type new password:Enter new password:Enter new password:Wrong password provided three times"
Verify admin pass change with new passwords mismatch,sc1,change.pwd,OPENIDM_MYSQL_ADMIN_PWD:MysqlAdm111:MysqlAdm123:MysqlAdm123:MysqlAdm123,"Please enter current password:Please type new password:Repeat new password:Repeat new password:Repeat new password:Passwords do not match"
Verify admin pass change with current pass incorrect,sc1,change.pwd,MysqlAdm111:MysqlAdm111:MysqlAdm111,"Please enter current password:Wrong password provided:Wrong password provided:Wrong password provided three times"
Changing OpenIDM MYSQL admin password on the first node,sc1,change.pwd,OPENIDM_MYSQL_ADMIN_PWD:OPENIDM_NEW_MYSQL_ADMIN_PWD:OPENIDM_NEW_MYSQL_ADMIN_PWD,"Please enter current password:Please type new password:Repeat new password:Password changed successfully"
Verifying OpenIDM MYSQL admin password change in <global.properties> file on the first node,sc1,decryptMYSQLOpenIDMPwd,,OPENIDM_NEW_MYSQL_ADMIN_PWD
Verify MYSQL <openidm> user password change on the first node,sc1,mysql,"-uopenidm SQLPWD","mysql>"
Verifying OpenIDM MYSQL administrator password change in <repo.jdbc.json> file on the first node,sc1,"decodeJson",,OPENIDM_NEW_MYSQL_ADMIN_PWD
Verifying MYSQL <root> user password change on the first node,sc1,mysql,"-uroot SQLPWD","mysql>"
Verifying OpenIDM MYSQL admin password change in <global.properties> file on the second node,sc2,decryptMYSQLOpenIDMPwd,,OPENIDM_NEW_MYSQL_ADMIN_PWD
Verifying OpenIDM MYSQL admin password change in <repo.jdbc.json> file on the second node,sc2,"decodeJson",,OPENIDM_NEW_MYSQL_ADMIN_PWD
Change OpenIDM admin password to the initial state,sc1,change.pwd,OPENIDM_NEW_MYSQL_ADMIN_PWD:OPENIDM_MYSQL_ADMIN_PWD:OPENIDM_MYSQL_ADMIN_PWD,"Please enter current password:Please type new password:Repeat new password:Password changed successfully"
